,ind,duration,offset,exponent,N,date,year,month,Ks,CI_low,CI_high,R2,S,S_max,S_min,S_CI_low,S_CI_high,dSdt,dSdt_CI_low,dSdt_CI_high,delta_h,delta_h_min,delta_h_max,Q,Q_min,Q_max,SQ,SQ_min,SQ_max,SQ_CI_low,SQ_CI_high,S_list,Q_list
31,31,9,0.0,1,7,2012-10-08,2012,10,1.144,0.40473405776988824,1.8841977308103073,-2.593,1.536,2.398,0.82,1.1456971838552101,2.2874020371665384,-0.02640773054714884,-0.11987750942664659,0.0670620483323489,1.086,0.445,1.356,4.037,3.844,4.201,0.417,0.21,0.581,0.2732770111604132,0.5525616510227707,"[2.014483716670835, 2.398466349910642, 0.8203720667112284, 1.3677553619667884, 1.4710223009991918, 1.5356336892306692, 2.176337724422435]","[3.8443389123333334, 4.127385976, 3.9145881736666666, 4.058788528, 4.200611450999999, 4.069655099999999, 4.0412172084210525]"
5,5,26,0.0,1,19,2013-06-10,2013,6,0.654,0.5282410548923301,0.7797010581056188,0.299,1.584,2.998,0.057,1.0339795680072172,1.93536222823553,0.07874371795877104,0.05709151649935587,0.10039591941818621,1.471,0.789,2.186,3.17,2.282,6.76,0.499,0.019,1.092,0.3365492101164507,0.7172915461251252,"[0.05722848980787054, 0.7115270170363459, 0.8834484608150452, 0.9295864691183957, 0.8493478243002404, 1.138372666896039, 1.9170680846577461, 1.5840406636124835, 2.4245345603333335, 2.75015566513334, 2.5088389833333333, 1.5972701554903859, 1.7744399815960672, 1.5244046977057701, 1.1186571548890787, 2.2751549078585116, 1.0570080805741933, 1.93536222823553, 2.9975226992980506]","[3.0384303957333336, 3.3551278466666665, 3.1129189179999996, 2.7324296159999997, 2.440925858, 2.2822476392421054, 2.606570574451613, 2.5101561492210527, 2.4245345603333335, 2.518274967, 2.5088389833333333, 2.5264809396666665, 2.473805792333333, 2.739677051105882, 3.334938092463158, 6.76024438468085, 5.361045713666666, 4.239706333, 3.2708828017391305]"
12,12,20,0.0,1,6,2013-09-29,2013,9,0.485,0.24714954521796384,0.723044602772681,0.385,1.377,2.561,0.171,0.17096273764121284,2.560848609664701,0.1907812877432046,0.07425312360885603,0.3073094518775532,1.715,1.33,1.905,3.461,3.073,4.083,0.383,0.042,0.718,0.04186921836321627,0.7175238842003571,"[1.3234043708259229, 0.6682376011879612, 0.17096273764121284, 2.560848609664701, 1.431276615460768, 1.798708422906132]","[3.1548041846666663, 3.679821254, 4.083256013, 3.569008176666667, 3.205376219666667, 3.0730748206666667]"
11,11,21,0.0,1,11,2014-01-14,2014,1,0.478,0.39380124296051555,0.5615434227157677,0.691,1.144,3.114,0.542,0.927827962118752,1.5489762095149253,0.10465801900600584,0.08384612254973775,0.12546991546227393,1.502,1.223,2.225,2.773,2.562,3.139,0.486,0.192,1.215,0.30965231912145236,0.6013650526713517,"[0.8910146779355306, 0.5422089365185174, 0.927827962118752, 1.1167877277645766, 1.1439077331132013, 0.999051928716088, 1.4534770886402764, 1.5489762095149253, 1.2615679317092618, 1.8143511126819525, 3.1141077595224553]","[3.1389674243333334, 2.816972962, 2.9963539906666665, 2.9731371643333326, 2.825642032333333, 2.7211058456666666, 2.690482406333333, 2.57576692, 2.577123766666667, 2.6263183073333334, 2.562006725]"
0,0,36,0.0,1,30,2014-09-20,2014,9,0.387,0.3249304258521052,0.4492517156647987,-0.014,1.343,2.071,0.195,1.0643472131876188,1.5905380084719898,0.0316528712930876,0.02412800594488761,0.0391777366412876,1.705,0.729,2.349,2.29,1.751,3.173,0.546,0.1,0.877,0.3827307815699208,0.7115087600410009,"[0.24058318635381992, 0.8877956337364632, 0.896792335194285, 0.8677525175541658, 0.8194741326916641, 0.9138843350593804, 1.0643472131876188, 1.5905380084719898, 0.5935640672881941, 0.19509053704583135, 0.5429277937325245, 1.6177130160594893, 1.2457439681745308, 1.4010926690465353, 1.5610316414082162, 1.2852381197524338, 1.527906615867006, 1.7649740315979188, 1.81603611485047, 1.8335029845907371, 0.3232466436805521, 1.5208912343769692, 1.6975940515998853, 2.062517921397691, 2.071009836873956, 1.5722625965136534, 1.5990244753793985, 1.8230292350052615, 1.0757849392910799, 1.090258725204399]","[2.203100134, 2.4339557956666664, 2.4548161798736845, 2.438271158, 2.403892793, 2.3877994116666668, 2.299209123, 2.3338706559999998, 2.086125203, 1.9458361066666667, 1.8002376103333333, 1.8698497436666666, 1.7508483916666666, 1.907039141, 2.0682089276666664, 1.7935241690000001, 1.7823714793333334, 2.0196544646666665, 2.070940319, 2.3438198816666667, 2.372337259, 2.3393363883333333, 2.5184725946666666, 2.885992212333333, 3.1728236983333336, 2.6789580586666664, 2.432244989, 2.6594035695157894, 2.756504795333333, 2.4998542986666665]"
8,8,25,0.0,1,22,2014-10-27,2014,10,0.392,0.36260327393469377,0.4223361179560095,0.653,1.417,1.895,0.46,1.2023402268347245,1.5381494387532344,0.0513346008132267,0.044868036923773946,0.05780116470267946,1.86,1.249,2.262,2.547,2.056,3.6,0.522,0.188,0.779,0.43890797018184835,0.657638841047205,"[0.8558398531939848, 1.205438298481475, 0.5016018409287049, 0.46048266169317076, 0.9790509152431688, 1.1693985518697962, 0.9521630633255769, 1.2023402268347245, 1.2839905604879587, 1.495006452972809, 1.292425652982061, 1.4320476254271943, 1.8036457299689803, 1.4472190279778903, 1.6976655222305568, 1.40833599847894, 1.5381494387532344, 1.7351879586819523, 1.6139428630861001, 1.4261059053172496, 1.8947810158221068, 1.877603536517646]","[3.600147807666666, 3.520881415333333, 2.661555025333333, 2.431448579, 2.466461122333333, 2.664336561, 2.70611269, 2.461956981333333, 2.2960618286666667, 2.257034789, 2.0564751536666663, 2.1978113816666665, 2.315243511, 2.215892838333333, 2.2110376869999997, 2.1802195696666664, 2.338896888, 2.547155153333333, 2.7006735046666663, 2.7915438856666666, 2.7172919266666664, 2.7028584314385964]"
39,39,8,0.0,1,7,2014-11-20,2014,11,0.496,0.3149183063840979,0.6768978329980544,0.468,1.338,2.325,0.284,0.5866882779181717,2.302619117374316,0.29464441487775417,0.20367752402604145,0.3856113057294669,1.486,0.676,2.33,5.758,3.875,6.718,0.233,0.073,0.429,0.08732908772221745,0.36592038616713635,"[0.2843239500118049, 1.2290784142149311, 1.3379814965481467, 0.5866882779181717, 1.3405146726493022, 2.3253908834091455, 2.302619117374316]","[3.87541955, 5.868066866666666, 6.318451469999999, 6.718131303333333, 5.806418833333333, 6.35490935, 5.364646654693877]"
14,14,18,0.0,1,15,2015-05-31,2015,5,0.717,0.6688896149486647,0.7641364554361985,0.865,1.935,2.584,0.758,1.2219223592607056,2.204031674509262,0.12380226592287992,0.11181615636206597,0.13578837548369388,1.6,0.878,1.854,3.769,3.34,4.015,0.467,0.189,0.717,0.3100410158650029,0.6067526423500347,"[0.7577034333666655, 0.9035385280468815, 1.0590723597680558, 1.3847723587533554, 0.9902528002164277, 1.5636223857846114, 1.8865025705778966, 2.1810199716894676, 2.150001593118625, 1.9349419554019731, 2.1061688356292825, 2.3859354394011616, 2.584414755126496, 2.204031674509262, 2.3114784351144726]","[4.010853495, 4.014522880333334, 3.9939784520000003, 3.9017040296666665, 3.7717358169999997, 3.748816907, 3.861213955333333, 3.920065704666666, 3.899173215666666, 3.695197866333333, 3.624397017333333, 3.6582709893333334, 3.6058554126666666, 3.4852051970000004, 3.340155338666667]"
3,3,26,0.0,1,24,2015-09-10,2015,9,0.599,0.4913642941835067,0.705777821080564,-0.307,1.084,1.663,0.136,1.0147342034978037,1.4760465483765022,0.03187793203513967,0.022313241659887253,0.04144262241039208,1.302,0.631,1.71,2.23,1.663,3.191,0.507,0.074,1.0,0.3975386710203766,0.6203188680842212,"[0.1357068039503435, 0.5411412660450274, 0.63194892647199, 0.9154135776850689, 1.057858912105788, 1.09287418414572, 1.647404273133788, 1.032499820841207, 0.8916419147721077, 1.039538163096754, 1.2407809667943361, 1.6053389833490734, 1.0147342034978037, 1.0756219851555462, 1.219555688271305, 1.4884793310579814, 1.573771844278014, 1.4760465483765022, 1.4074877702115711, 0.6076107355013916, 0.6678228918212918, 1.66290408, 1.4902776265537085, 1.6006476226152793]","[1.8332178333333333, 1.85076835, 1.95377071, 2.02350083, 2.1718395666666668, 2.4382239633333334, 2.7763442533333333, 3.0809268333333333, 3.1913623533333335, 2.897829224666667, 2.689379231, 2.5879254460000003, 2.495842752, 2.315618118666667, 2.215453338, 2.23738116, 2.0742645933333335, 1.97739754, 1.9097321866666668, 1.86722749, 1.67989416, 1.66290408, 1.7440199133333332, 1.85466191]"
4,4,27,0.0,1,23,2015-10-13,2015,10,0.507,0.43874772140916773,0.5754450267712627,0.614,1.504,3.15,0.181,1.0712087021627918,2.2295519376914337,0.11124020364665835,0.09752113376254688,0.12495927353076981,1.563,0.918,2.609,3.39,2.145,5.242,0.488,0.082,0.701,0.42161157272445043,0.5799333169424854,"[0.18112021269443712, 0.5719434729669071, 0.7711951416644645, 0.8047058409819428, 1.015166716085764, 1.323379671538771, 0.6729711647428234, 1.1272506882398197, 1.3281223951854177, 1.7473678829790242, 2.043184204568636, 2.3318880637124977, 1.5043047290462959, 1.2573641989944404, 1.8433933719082183, 2.2789018118114597, 0.46448362698055945, 2.1802020635714077, 3.008859074543749, 2.8733860289165536, 2.7141686728774252, 2.891786281936807, 3.149536663855519]","[2.2080024799999998, 2.1635215066666666, 2.14464364, 2.1878267599999996, 2.17473024, 2.2554331199999997, 2.3791126433333334, 2.3584354800000003, 2.31737612, 2.4912822568421054, 3.287550983333333, 4.082633633333333, 3.2661659000000003, 3.2859286666666665, 3.3744186666666667, 3.8168686666666667, 4.4811336, 4.6480847333333335, 4.6669626, 4.822410033333333, 5.242442566666667, 5.161636448333334, 5.152063241043478]"
